dgp_id,n,rho,overlap,sigma_U_sq,sample_r2,replication_seed,theta_hat,se,ci_lower,ci_upper,ci_length,kappa_dml,coverage,bias,squared_error,replication
A1,500,0.0,high,0.7333333333333334,0.7685523948888008,2024,1.0417706997910354,0.045682648444311205,0.9522327088401854,1.1313086907418854,0.17907598190170004,0.8825577507671176,1,0.041770699791035426,0.001744791361032807,0
A1,500,0.0,high,0.7333333333333334,0.7366242754638704,2025,1.0194076776960632,0.04652628532518322,0.9282161584587041,1.1105991969334224,0.18238303847471826,0.9615123417188468,1,0.01940767769606322,0.00037665795355426975,1
A1,500,0.0,high,0.7333333333333334,0.8082295754818688,2026,1.0937559545967281,0.05189328385367072,0.9920451182435335,1.1954667909499228,0.20342167270638933,0.9856092671314837,1,0.09375595459672814,0.008790179022343749,2
A1,500,0.0,high,0.7333333333333334,0.7246584666532176,2027,1.044030189202621,0.04301465262456347,0.9597214700584765,1.1283389083467652,0.16861743828828868,0.894849350653034,1,0.04403018920262092,0.0019386575612185956,3
A1,500,0.0,high,0.7333333333333334,0.7480909948494904,2028,0.9133409463713914,0.047199163765699846,0.8208305853906197,1.005851307352163,0.1850207219615434,0.9801372204365087,1,-0.0866590536286086,0.007509791575806061,4
A1,500,0.0,high,0.7333333333333334,0.7601420275800407,2029,1.0640758475638,0.0432923254332224,0.979222889714684,1.1489288054129159,0.1697059156982319,0.8643757069888726,1,0.06407584756379991,0.004105714241019323,5
A1,500,0.0,high,0.7333333333333334,0.7509313982296328,2030,0.9760298568981683,0.045830289051183803,0.886202490357848,1.0658572234384887,0.17965473308064062,0.8566273391414774,1,-0.023970143101831654,0.0005745677603222876,6
A1,500,0.0,high,0.7333333333333334,0.7719542813210162,2031,1.0200537950037254,0.04492116779575617,0.9320083061240433,1.1080992838834074,0.1760909777593641,0.8804671366392142,1,0.020053795003725394,0.0004021546940514416,7
A1,500,0.0,high,0.7333333333333334,0.709327217698332,2032,0.9776871557867312,0.04646075818816981,0.8866240697379183,1.068750241835544,0.1821261720976256,0.7884531292113758,1,-0.022312844213268845,0.000497863016885605,8
A1,500,0.0,high,0.7333333333333334,0.7765840904626715,2033,0.9883233717853261,0.0440720069860264,0.9019422380927145,1.0747045054779378,0.17276226738522338,0.8964177874725453,1,-0.011676628214673856,0.00013634364646371758,9
